Raw_material,Category,Unit,Quantity,Total
Sevai,Food Ingredients,PKT,4.0,148.0
Chicken Tandoori,Meat Material,Kg,1.6,368.0
7 Up,Beverages,BTL,24.0,408.0
French Lettuce Red,Vegetable,Kg,0.5,90.0
Papad Big,Grocery,PKT,5.0,1800.0
Methi Fresh,Vegetable,Kg,2.0,92.0
Cauliflower,Vegetable,Kg,2.0,84.0
Chopsuey Noodles,Food Ingredients,Kg,2.0,160.0
Green Zucchini,Vegetable,Kg,0.5,55.0
Chicken Breast Bonless,Meat Material,Kg,5.0,1250.0
Iceberg Lettuce,Vegetable,Kg,1.5,210.0
Coconut Big,Vegetable,PCS,10.0,350.0
Lemon Iced Tea Syrup,Food Ingredients,LTR,4.0,3256.8
White Phenyle,Non Food,LTR,10.0,330.4
Milk 3 Fat,Dairy Products,PKT,30.0,1680.0
Staff Veg,Vegetable,Kg,15.0,570.0
Drum Stick,Vegetable,Kg,1.0,90.0
Asparagus,Vegetable,Kg,1.0,500.0
Mango Slice Kulfi,Food Ingredients,PCS,5.0,182.9
Baby Corn,Vegetable,Kg,1.0,120.0
Spring Onion,Vegetable,Kg,4.0,192.0
Karela,Vegetable,Kg,1.0,60.0
Onion,Vegetable,Kg,33.0,1452.0
Besan,Grocery,Kg,10.0,1040.0
Green Zucchini,Vegetable,Kg,1.5,165.0
Veg Mayonnaise,Food Ingredients,BTL,6.0,619.32
Dolly Paper Small,Non Food,PKT,20.0,1416.0
Steel Scrubber,Non Food,PCS,24.0,283.2
Mint Leaves,Vegetable,Kg,0.75,36.0
Lady Finger,Vegetable,Kg,1.0,44.0
Tomato Puree,Food Ingredients,TIN,6.0,438.34
Methi Fresh,Vegetable,Kg,3.0,138.0
Apple,Fresh Fruits,Kg,1.8,324.0
Cabbage,Vegetable,Kg,5.0,150.0
Garam Masala,Grocery,Kg,1.0,483.0
Gulab Badam Slice Kulfi,Food Ingredients,PCS,5.0,236.0
Curd Mother Dairy,Dairy Products,Kg,32.0,3436.77
Orange,Fresh Fruits,Kg,13.2,924.0
Aalu Bukhara (plum),Food Ingredients,Kg,1.0,616.0
Cabbage,Vegetable,Kg,3.0,90.0
Milk 3 Fat,Dairy Products,PKT,25.0,1400.0
Perrier Carbonated Water,Beverages,BTL,24.0,3083.47
Tomato Ketchup,Food Ingredients,BTL,6.0,445.0
Yellow Zucchini,Vegetable,Kg,0.5,55.0
Onion,Vegetable,Kg,27.0,1188.0
Tom Yum Cube,Food Ingredients,PKT,12.0,1814.4
Milk 3 Fat,Dairy Products,PKT,5.0,280.0
American Corn,Vegetable,Kg,3.0,210.0
Vanilla Md Ice Cream,Food Ingredients,LTR,8.0,807.34
Lady Finger,Vegetable,Kg,2.0,88.0
Bell Pepper Red,Vegetable,Kg,3.0,390.0
Kashmiri Chilli,Grocery,Kg,15.0,10710.0
Lemon,Vegetable,Kg,8.0,560.0
Celery Leaves,Vegetable,Kg,0.5,55.0
Sweet Potato,Vegetable,Kg,2.0,180.0
Broccoli,Vegetable,Kg,3.0,540.0
Cheese Amul,Dairy Products,Kg,12.0,6128.64
Cauliflower,Vegetable,Kg,6.0,252.0
Ginger,Vegetable,Kg,2.0,140.0
Capsicum,Vegetable,Kg,4.5,216.0
Spring Onion,Vegetable,Kg,3.0,144.0
The Dalmore 12yrs Single Malt,Bar,BTL,1.0,9024.24
Moong Dal,Grocery,Kg,30.0,3900.0
Wonton Patta,Food Ingredients,PKT,4.0,440.0
Snow Peas,Vegetable,Kg,0.25,200.0
Spring Onion,Vegetable,Kg,3.0,144.0
Carrots,Vegetable,Kg,2.0,72.0
Fresh Beans,Vegetable,Kg,5.0,340.0
Bisleri 250 Ml,Beverages,BTL,96.0,760.0
Carrots,Vegetable,Kg,22.0,792.0
Absolut Vodka,Bar,BTL,6.0,12316.14
Kashmiri Chilli Powder,Grocery,PKT,5.0,3412.5
Chapati For Staff,Grocery,PCS,250.0,1375.0
Jalepenos Slice,Food Ingredients,TIN,1.0,322.99
Almond Milk,Dairy Products,PKT,30.0,2250.0
Refind Oil,Food Ingredients,LTR,50.0,5020.55
Moong Whole,Grocery,Kg,5.0,700.0
Pineapple Fruit,Fresh Fruits,Kg,2.8,196.0
Kashmiri Chilli Powder,Grocery,PKT,3.0,2142.0
Prawns Frozen 70/80,Meat Material,Kg,2.0,1080.0
Banana Leaf,Vegetable,PCS,25.0,200.0
Lemon Leaves,Vegetable,Kg,0.1,80.0
Orange Imp,Fresh Fruits,Kg,3.3,528.0
Fresh Mushroom,Vegetable,Kg,3.0,510.0
Keel Patta,Vegetable,Kg,0.25,120.0
Chapati For Staff,Grocery,PCS,300.0,1650.0
Malai Paneer,Dairy Products,Kg,4.0,1280.0
Mustard Oil,Food Ingredients,BTL,4.0,945.0
Lady Finger,Vegetable,Kg,1.0,44.0
Chinese Cabbage,Vegetable,Kg,0.5,55.0
Chicken Breast Bonless,Meat Material,Kg,9.9,2475.0
Phulka Atta,Grocery,Kg,5.0,340.0
Baby Corn,Vegetable,Kg,1.5,180.0
Capsicum,Vegetable,Kg,3.5,168.0
Onion,Vegetable,Kg,75.0,3300.0
Staff Veg,Vegetable,Kg,15.0,570.0
Green Chilly,Vegetable,Kg,1.0,52.0
Yellow Zucchini,Vegetable,Kg,0.5,55.0
Banana Leaf,Vegetable,PCS,20.0,160.0
Bell Pepper Red,Vegetable,Kg,1.5,195.0
Fresh Red Chilly,Vegetable,Kg,0.5,60.0
Chat Masala,Grocery,PKT,20.0,1575.0
Lemon Pickle,Grocery,Kg,10.0,1000.0
Fresh Basil,Vegetable,Kg,0.75,120.0
Malai Paneer,Dairy Products,Kg,10.0,3100.0
Banana Leaf,Vegetable,PCS,10.0,80.0
Ginger,Vegetable,Kg,1.0,70.0
Elaichi Bananas,Fresh Fruits,Kg,3.1,341.0
Bell Papper Yellow,Vegetable,Kg,2.0,260.0
Chapati For Staff,Grocery,PCS,250.0,1375.0
Lemon Ice Tea,Food Ingredients,Kg,2.0,850.0
Green Zucchini,Vegetable,Kg,0.5,55.0
Ginger,Vegetable,Kg,2.5,175.0
Aragula,Vegetable,Kg,0.5,250.0
Garbage Bags,Non Food,Kg,25.0,3392.5
American Corn,Vegetable,Kg,0.5,35.0
Black Pepper Whole,Grocery,Kg,0.5,435.76
